"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2526","缩略图与大图交互","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testImageInteraction"
"","10229","核心业务流程测试","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.E2ETest","购物流程测试","tests.E2ETest","e2eTest"
"","948","测试迷你购物车：初始状态、展开浮层及动态更新","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.HomePageTest","主页测试","tests.HomePageTest","miniCartTest"
"","1592","验证 Banner 链接跳转","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.HomePageTest","主页测试","tests.HomePageTest","testClickBannerNOpenProductPage"
"","1779","提交有效评价","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testSubmitValidReview"
"","913","搜索存在商品","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.HomePageTest","主页测试","tests.HomePageTest","searchExistProductTest"
"","1184","错误密码","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.LoginPageTest","登录页测试","tests.LoginPageTest","loginFailed"
"","1122","未登录状态访问受限页面","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.LoginPageTest","登录页测试","tests.LoginPageTest","testAccessRestrictedPage"
"","2164","大图弹窗切换","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testSwitchImages"
"","1245","已登录状态防重复登录","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.LoginPageTest","登录页测试","tests.LoginPageTest","testDuplicateLogins"
"","688","验证登录页title正确","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.LoginPageTest","登录页测试","tests.LoginPageTest","goToLoginPageTest"
"","971","首页商品交互按钮：加入收藏夹-未登录","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.HomePageTest","主页测试","tests.HomePageTest","testProductAddToWishListBtn"
"","894","页面跳转","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testOpenProductPage"
"","1100","打开搜索页，点击左侧LOGO，正确返回首页","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.HomePageTest","主页测试","tests.HomePageTest","logoTest"
"","853","点击货币下拉菜单，选择欧元","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.HomePageTest","主页测试","tests.HomePageTest","switchCurrencyTest"
"","1311","验证注册页title正确","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.RegisterPageTest","注册页测试","tests.RegisterPageTest","goToLoginPageTest"
"","1984","邮箱已被注册","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.RegisterPageTest","注册页测试","tests.RegisterPageTest","testRegisterFormValidation"
"","1053","未注册邮箱","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.LoginPageTest","登录页测试","tests.LoginPageTest","loginFailed"
"","1980","加入对比列表","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testAddComparison"
"","2507","用户使用正确信息注册","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.RegisterPageTest","注册页测试","tests.RegisterPageTest","testRegister"
"","2077","添加无效数量商品到购物车","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testAddInvalidQuantity"
"","1033","首页商品交互按钮：加入购物车-未登录","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.HomePageTest","主页测试","tests.HomePageTest","testProductAddToCartBtn"
"","1737","选项卡内容切换","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testTabSwitching"
"","544","搜索不存在商品","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.HomePageTest","主页测试","tests.HomePageTest","searchNotExistProductTest"
"","109","测试轮播图：底部分页圆","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.HomePageTest","主页测试","tests.HomePageTest","testHeroBannerCarousel2"
"","1603","核心信息展示","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testCoreInfoDisplay"
"","2047","必填项空值提交(First Name 为空)","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.RegisterPageTest","注册页测试","tests.RegisterPageTest","testRegisterFormValidation"
"","2513","加入收藏夹 (未登录)","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testAdd2Favorites"
"","492","直接点击搜索","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.HomePageTest","主页测试","tests.HomePageTest","searchTest"
"","913","忘记密码跳转","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.LoginPageTest","登录页测试","tests.LoginPageTest","testForgottenPasswordLink"
"","1961","未勾选 Privacy Policy","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.RegisterPageTest","注册页测试","tests.RegisterPageTest","testRegisterFormValidation"
"","1765","注册入口跳转","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.LoginPageTest","登录页测试","tests.LoginPageTest","testRegisterBtn"
"","1859","密码长度校验","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.RegisterPageTest","注册页测试","tests.RegisterPageTest","testRegisterFormValidation"
"","532","搜索存在商品","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.HomePageTest","主页测试","tests.HomePageTest","searchExistProductTest"
"","980","首页商品交互按钮：加入对比-未登录","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.HomePageTest","主页测试","tests.HomePageTest","testProductCompareBtn"
"","1758","测试轮播图：箭头切换","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.HomePageTest","主页测试","tests.HomePageTest","testHeroBannerCarousel"
"","2047","密码与确认密码不一致","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.RegisterPageTest","注册页测试","tests.RegisterPageTest","testRegisterFormValidation"
"","957","搜索存在商品","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.HomePageTest","主页测试","tests.HomePageTest","searchExistProductTest"
"","2082","提交空评价表单","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testSubmitInvalidReview"
"","2010","添加有效数量商品到购物车","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testAddValidQuantity"
"","1361","验证用户输入正确的邮箱和密码后成功跳转至账户页","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.LoginPageTest","登录页测试","tests.LoginPageTest","login"
"","50","验证主页title正确","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.HomePageTest","主页测试","tests.HomePageTest","titleTest"
"","1170","空值提交","商城回归测试 suite","2026-07-29","passed","2026-07-29","tests.LoginPageTest","登录页测试","tests.LoginPageTest","loginFailed"
