"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","789","忘记密码跳转","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.LoginPageTest","登录页测试","tests.LoginPageTest","testForgottenPasswordLink"
"","461","首页商品交互按钮：加入收藏夹-未登录","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.HomePageTest","主页测试","tests.HomePageTest","testProductAddToWishListBtn"
"","620","验证登录页title正确","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.LoginPageTest","登录页测试","tests.LoginPageTest","goToLoginPageTest"
"","1068","未注册邮箱、错误密码、空值提交","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.LoginPageTest","登录页测试","tests.LoginPageTest","loginFailed"
"","471","搜索存在商品","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.HomePageTest","主页测试","tests.HomePageTest","searchExistProductTest"
"","560","首页商品交互按钮：加入购物车-未登录","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.HomePageTest","主页测试","tests.HomePageTest","testProductAddToCartBtn"
"","1806","测试轮播图：箭头切换","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.HomePageTest","主页测试","tests.HomePageTest","testHeroBannerCarousel"
"","701","搜索不存在商品","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.HomePageTest","主页测试","tests.HomePageTest","searchNotExistProductTest"
"","715","点击货币下拉菜单，选择欧元","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.HomePageTest","主页测试","tests.HomePageTest","switchCurrencyTest"
"","97","验证主页title正确","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.HomePageTest","主页测试","tests.HomePageTest","titleTest"
"","454","搜索存在商品","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.HomePageTest","主页测试","tests.HomePageTest","searchExistProductTest"
"","1115","注册入口跳转","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.LoginPageTest","登录页测试","tests.LoginPageTest","testRegisterBtn"
"","446","首页商品交互按钮：加入对比-未登录","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.HomePageTest","主页测试","tests.HomePageTest","testProductCompareBtn"
"","1199","验证用户输入正确的邮箱和密码后成功跳转至账户页","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.LoginPageTest","登录页测试","tests.LoginPageTest","login"
"","1616","测试迷你购物车：初始状态、展开浮层及动态更新","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.HomePageTest","主页测试","tests.HomePageTest","miniCartTest"
"","983","未登录状态访问受限页面","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.LoginPageTest","登录页测试","tests.LoginPageTest","testAccessRestrictedPage"
"","1113","打开搜索页，点击左侧LOGO，正确返回首页","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.HomePageTest","主页测试","tests.HomePageTest","logoTest"
"","453","搜索存在商品","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.HomePageTest","主页测试","tests.HomePageTest","searchExistProductTest"
"","1427","验证 Banner 链接跳转","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.HomePageTest","主页测试","tests.HomePageTest","testClickBannerNOpenProductPage"
"","766","已登录状态防重复登录","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.LoginPageTest","登录页测试","tests.LoginPageTest","testRegisterLink2"
"","1190","未注册邮箱、错误密码、空值提交","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.LoginPageTest","登录页测试","tests.LoginPageTest","loginFailed"
"","1036","未注册邮箱、错误密码、空值提交","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.LoginPageTest","登录页测试","tests.LoginPageTest","loginFailed"
"","144","测试轮播图：底部分页圆","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.HomePageTest","主页测试","tests.HomePageTest","testHeroBannerCarousel2"
"","465","直接点击搜索","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.HomePageTest","主页测试","tests.HomePageTest","searchTest"
