"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1157","缩略图与大图交互","商城回归测试 suite","2026-07-28","passed","2026-07-28","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testImageInteraction"
"","1135","加入收藏夹 (未登录)","商城回归测试 suite","2026-07-28","passed","2026-07-28","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testAdd2Favorites"
"","1323","密码与确认密码不一致","商城回归测试 suite","2026-07-28","passed","2026-07-28","tests.RegisterPageTest","注册页测试","tests.RegisterPageTest","testRegisterFormValidation"
"","545","首页商品交互按钮：加入购物车-未登录","商城回归测试 suite","2026-07-28","passed","2026-07-28","tests.HomePageTest","主页测试","tests.HomePageTest","testProductAddToCartBtn"
"","2058","必填项空值提交(First Name 为空)","商城回归测试 suite","2026-07-28","passed","2026-07-28","tests.RegisterPageTest","注册页测试","tests.RegisterPageTest","testRegisterFormValidation"
"","702","搜索存在商品","商城回归测试 suite","2026-07-28","passed","2026-07-28","tests.HomePageTest","主页测试","tests.HomePageTest","searchExistProductTest"
"","716","已登录状态防重复登录","商城回归测试 suite","2026-07-28","passed","2026-07-28","tests.LoginPageTest","登录页测试","tests.LoginPageTest","testDuplicateLogins"
"","964","首页商品交互按钮：加入收藏夹-未登录","商城回归测试 suite","2026-07-28","passed","2026-07-28","tests.HomePageTest","主页测试","tests.HomePageTest","testProductAddToWishListBtn"
"","61","验证主页title正确","商城回归测试 suite","2026-07-28","passed","2026-07-28","tests.HomePageTest","主页测试","tests.HomePageTest","titleTest"
"","521","搜索存在商品","商城回归测试 suite","2026-07-28","passed","2026-07-28","tests.HomePageTest","主页测试","tests.HomePageTest","searchExistProductTest"
"","1871","提交有效评价","商城回归测试 suite","2026-07-28","passed","2026-07-28","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testSubmitValidReview"
"","764","验证注册页title正确","商城回归测试 suite","2026-07-28","passed","2026-07-28","tests.RegisterPageTest","注册页测试","tests.RegisterPageTest","goToLoginPageTest"
"","101","测试轮播图：底部分页圆","商城回归测试 suite","2026-07-28","passed","2026-07-28","tests.HomePageTest","主页测试","tests.HomePageTest","testHeroBannerCarousel2"
"","496","首页商品交互按钮：加入对比-未登录","商城回归测试 suite","2026-07-28","passed","2026-07-28","tests.HomePageTest","主页测试","tests.HomePageTest","testProductCompareBtn"
"","1498","邮箱已被注册","商城回归测试 suite","2026-07-28","passed","2026-07-28","tests.RegisterPageTest","注册页测试","tests.RegisterPageTest","testRegisterFormValidation"
"","1242","未注册邮箱、错误密码、空值提交","商城回归测试 suite","2026-07-28","passed","2026-07-28","tests.LoginPageTest","登录页测试","tests.LoginPageTest","loginFailed"
"","1882","大图弹窗切换","商城回归测试 suite","2026-07-28","passed","2026-07-28","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testSwitchImages"
"","736","页面跳转","商城回归测试 suite","2026-07-28","passed","2026-07-28","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testOpenProductPage"
"","602","验证登录页title正确","商城回归测试 suite","2026-07-28","passed","2026-07-28","tests.LoginPageTest","登录页测试","tests.LoginPageTest","goToLoginPageTest"
"","1209","选项卡内容切换","商城回归测试 suite","2026-07-28","passed","2026-07-28","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testTabSwitching"
"","1228","验证用户输入正确的邮箱和密码后成功跳转至账户页","商城回归测试 suite","2026-07-28","passed","2026-07-28","tests.LoginPageTest","登录页测试","tests.LoginPageTest","login"
"","1254","提交空评价表单","商城回归测试 suite","2026-07-28","passed","2026-07-28","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testSubmitInvalidReview"
"","1489","核心信息展示","商城回归测试 suite","2026-07-28","passed","2026-07-28","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testCoreInfoDisplay"
"","499","搜索存在商品","商城回归测试 suite","2026-07-28","passed","2026-07-28","tests.HomePageTest","主页测试","tests.HomePageTest","searchExistProductTest"
"","1194","添加无效数量商品到购物车","商城回归测试 suite","2026-07-28","passed","2026-07-28","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testAddInvalidQuantity"
"","686","直接点击搜索","商城回归测试 suite","2026-07-28","passed","2026-07-28","tests.HomePageTest","主页测试","tests.HomePageTest","searchTest"
"","6251","未注册邮箱、错误密码、空值提交","商城回归测试 suite","2026-07-28","failed","2026-07-28","tests.LoginPageTest","登录页测试","tests.LoginPageTest","loginFailed"
"","1561","验证 Banner 链接跳转","商城回归测试 suite","2026-07-28","passed","2026-07-28","tests.HomePageTest","主页测试","tests.HomePageTest","testClickBannerNOpenProductPage"
"","1765","测试轮播图：箭头切换","商城回归测试 suite","2026-07-28","passed","2026-07-28","tests.HomePageTest","主页测试","tests.HomePageTest","testHeroBannerCarousel"
