"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1621","核心信息展示","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testCoreInfoDisplay"
"","987","首页商品交互按钮：加入购物车-未登录","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.HomePageTest","主页测试","tests.HomePageTest","testProductAddToCartBtn"
"","638","验证登录页title正确","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.LoginPageTest","登录页测试","tests.LoginPageTest","goToLoginPageTest"
"","626","搜索存在商品","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.HomePageTest","主页测试","tests.HomePageTest","searchExistProductTest"
"","923","忘记密码跳转","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.LoginPageTest","登录页测试","tests.LoginPageTest","testForgottenPasswordLink"
"","1561","验证 Banner 链接跳转","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.HomePageTest","主页测试","tests.HomePageTest","testClickBannerNOpenProductPage"
"","1156","未登录状态访问受限页面","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.LoginPageTest","登录页测试","tests.LoginPageTest","testAccessRestrictedPage"
"","895","测试迷你购物车：初始状态、展开浮层及动态更新","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.HomePageTest","主页测试","tests.HomePageTest","miniCartTest"
"","1981","加入对比列表","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testAddComparison"
"","1175","注册入口跳转","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.LoginPageTest","登录页测试","tests.LoginPageTest","testRegisterBtn"
"","1557","未注册邮箱、错误密码、空值提交","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.LoginPageTest","登录页测试","tests.LoginPageTest","loginFailed"
"","2028","提交空评价表单","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testSubmitInvalidReview"
"","1688","选项卡内容切换","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testTabSwitching"
"","1741","测试轮播图：箭头切换","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.HomePageTest","主页测试","tests.HomePageTest","testHeroBannerCarousel"
"","999","首页商品交互按钮：加入收藏夹-未登录","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.HomePageTest","主页测试","tests.HomePageTest","testProductAddToWishListBtn"
"","1523","未注册邮箱、错误密码、空值提交","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.LoginPageTest","登录页测试","tests.LoginPageTest","loginFailed"
"","510","搜索存在商品","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.HomePageTest","主页测试","tests.HomePageTest","searchExistProductTest"
"","1967","添加有效数量商品到购物车","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testAddValidQuantity"
"","1088","页面跳转","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testOpenProductPage"
"","6626","添加无效数量商品到购物车","商城回归测试 suite","2026-07-27","failed","2026-07-27","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testAddInvalidQuantity"
